,username,name,sex,address,mail,birthdate,fields_of_tech,music,peronality_type,technology,hobbies
0,vramsey,Jenna Miller,F,"50603 Bennett Fall
South Steventon, MI 99872",jenna81@yahoo.com,1999-06-22,1.1010000101001012e+42,Seekers,The Counselor – INFJ,"['ME', 'CSE', 'AE']","['Videography', 'Fitness', 'Gardening', 'Music', 'Reading']"
1,sarahclark,Mr. Jonathan Brewer,M,"14618 Brandon Stravenue
New Robert, ID 64021",dillonpenny@gmail.com,1925-05-11,1.1100011100001111e+43,Standers,The Giver – ENFJ,"['ECE', 'CIV', 'ME', 'CSE', 'AE']","['Fitness', 'Gardening', 'Crafting', 'Reading']"
2,dalebowman,Carolyn Mendez,F,"4157 Gonzales Highway Suite 724
Juliebury, MI 26030",erin48@yahoo.com,1915-06-24,1.100110110001101e+40,Seekers,The Nurturer – ISFJ,"['ME', 'CSE', 'AE']","['Exploration', 'Writing', 'Gaming', 'Music', 'Photography', 'Crafting', 'Reading']"
3,andersonpamela,Nicole Brown,F,"863 Debbie Port
West Gregoryshire, CA 54344",uhernandez@gmail.com,1952-03-12,1.1110010110110112e+43,Seekers,The Supervisor – ESTJ,"['CHEMICAL. E', 'ECE', 'CIV', 'AE']","['Videography', 'Cooking', 'Sports', 'Gardening', 'Collecting', 'Crafting', 'Traveling', 'Reading']"
4,aaron04,Vanessa Russell,F,"Unit 1047 Box 4123
DPO AE 17335",johnmiller@yahoo.com,1954-11-15,1.0000100010001001e+43,Standers,Composer – ISFP,"['CHEMICAL. E', 'CIV', 'AE']","['Exploration', 'Cooking', 'Gaming', 'Gardening', 'Photography', 'Crafting', 'Traveling', 'Reading']"
5,emilydelgado,Nicole Escobar,F,"488 Zachary Fords Suite 437
Eddiehaven, CT 57690",vcarpenter@gmail.com,1910-06-01,1.0101101011100111e+43,Seekers,The Counselor – INFJ,"['CHEMICAL. E', 'ME', 'CSE', 'AE']","['Exploration', 'Fitness', 'Gaming', 'Music', 'Traveling', 'Reading']"
6,michaelhorton,Tracy Hammond,F,"964 Nielsen Port
Stephanietown, NV 27043",christopher90@hotmail.com,1932-07-21,1.000011001e+41,Seekers,The Giver – ENFJ,"['CSE', 'AE']","['Writing', 'Cooking', 'Sports', 'Gaming', 'Music', 'Collecting', 'Traveling', 'Reading']"
7,collinsdebra,Allen Rodriguez,M,"99828 Brittany Island Apt. 834
East Juan, MN 34558",scottjulie@hotmail.com,1913-09-07,1.0011000001011112e+42,Standers,The Craftsman – ISTP,"['ME', 'AE']","['Exploration', 'Writing', 'Cooking', 'Sports', 'Gardening', 'Music', 'Collecting', 'Crafting', 'Reading']"
8,qduncan,Kathleen Torres,F,"9763 Alexander Canyon Apt. 411
Meyersport, WA 36116",vpham@yahoo.com,1991-04-01,1.101011100000001e+43,Seekers,The Champion – ENFP,"['ECE', 'CIV', 'CSE', 'AE']","['Writing', 'Fitness', 'Music', 'Crafting', 'Reading']"
9,cabrerachristopher,Jessica Myers,F,"Unit 9473 Box 2768
DPO AA 69680",ingrammonica@gmail.com,1962-09-08,1.110110011001001e+41,Standers,The Inspector – ISTJ,"['ECE', 'CIV', 'ME', 'CSE', 'AE']","['Writing', 'Videography', 'Cooking', 'Fitness', 'Gaming', 'Gardening', 'Collecting', 'Traveling', 'Reading']"
